Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-02,3632173,30708129727,HECTOR VIDAL Y ASOC SRL,2017-04-07T00:00:00,ShipTo,"RUTA A012 KM 47,5",ROLDAN,Santa Fe,2134,E00023,C - N - NUCLEO,E105,N - NUCLEO 2 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,1824083,20117178529,HEER GUSTAVO ADOLFO,2005-07-12T00:00:00,SoldTo,MACAYA ANDRES 1280 GOLF,TANDIL,Buenos Aires,7000,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3691057,20117178529,HEER GUSTAVO ADOLFO,2018-08-03T00:00:00,ShipTo,CALLE 1 151 -ZONA BASE AEREA - PARQ,TANDIL,Buenos Aires,7000,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3765409,20117178529,HEER GUSTAVO ADOLFO,2020-06-12T00:00:00,ShipTo,"RUTA 205 KM 99,5",LOBOS,Buenos Aires,7240,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3924093,30717349233,HESAR HERMANOS S. R. L.,2025-09-25T00:00:00,SoldTo,PUEYRREDON 300,VILLA ASCASUBI,Cordoba,5935,E00028,C - S - RIO IV & SAN,E125,S-RIO IV&S.LUIS 1-C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3914702,30718073452,INSEA S. A. S.,2025-02-03T00:00:00,SoldTo,RUTA PCIAL N91-ENTRE CAMINOS 26,TOTORAS,Santa Fe,2144,E00023,C - N - NUCLEO,E105,N - NUCLEO 2 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,1820313,30708822643,INSUMOS AGROPECUARIOS EL CEIBO SRL,2005-04-20T00:00:00,SoldTo,AREA INDUSTRIAL LOS ALGARROBOS 2255,FIRMAT,Santa Fe,2630,E00023,C - N - NUCLEO,E105,N - NUCLEO 2 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3624880,30708822643,INSUMOS AGROPECUARIOS EL CEIBO SRL,2017-02-07T00:00:00,ShipTo,LOS ALGARROBOS 2255,FIRMAT,Santa Fe,2630,E00023,C - N - NUCLEO,E105,N - NUCLEO 2 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,1805609,30653461433,INTEGRAL AGROPECUARIA SRL,2004-12-17T00:00:00,SoldTo,AV.OLMOS 72,MELO,Cordoba,6123,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,EKC,0362 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,1805610,30653461433,INTEGRAL AGROPECUARIA SRL,2004-12-17T00:00:00,SoldTo,LEVALLE Y BELGRANO,HIPOLITO BOUCHARD,Cordoba,6225,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,EMD,0415 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,1805611,30653461433,INTEGRAL AGROPECUARIA SRL,2004-12-17T00:00:00,SoldTo,CORDOBA 375,PUEBLO ITALIANO,Cordoba,2651,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,EMF,0417 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,1805612,30653461433,INTEGRAL AGROPECUARIA SRL,2004-12-17T00:00:00,SoldTo,9 DE JULIO 315 OSTENOR Y CBA,SERRANO,Cordoba,6125,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,EQI,0525 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,1805613,30653461433,INTEGRAL AGROPECUARIA SRL,2004-12-17T00:00:00,SoldTo,INDEPENDECIA 592,LABOULAYE,Cordoba,6120,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,ERY,0566 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,1858904,30653461433,INTEGRAL AGROPECUARIA SRL,2006-08-15T00:00:00,ShipTo,AV ARISTOBULO DEL VALLE SN,VILLA VALERIA,Cordoba,6273,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,EKC,0362 Integral Agrope,E2,Centro de Soluciones,True
2026-03-02,3079058,30653461433,INTEGRAL AGROPECUARIA SRL,2009-07-15T00:00:00,SoldTo,JOSE MARIA PAZ Y PUEYRREDON,VILLA VALERIA,Cordoba,6273,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,E08,0783 INTEGRAL AGROP.,E2,Centro de Soluciones,True
2026-03-02,3515090,30653461433,INTEGRAL AGROPECUARIA SRL,2014-11-20T00:00:00,ShipTo,MANUEL A MOREIRA 1270,LABOULAYE,Cordoba,6120,E00037,I - S - CORDOBA ESTE,E166,S-CORDOBA ESTE 5-I,ERY,0566 Integral Agrope,E2,Centro de Soluciones,True
